sched,ocs,dp,reuse,wbd,bank,regb,ocu,rfc,case_label,op,stage,stall,remain
gto,1,4,0,1,2,8,8,1,srad_v2,SP_OP,OPERAND_COLLECTOR,0,164818
gto,1,4,0,1,2,8,8,1,srad_v2,SP_OP,EXECUTION_PIPELINE,0,182272
gto,1,4,0,1,2,8,8,1,srad_v2,SP_OP,WRITEBACK,299,45867
gto,1,4,0,1,2,8,8,1,streamcluster,ALU_OP,SCHEDULER,845827,2621324
gto,1,4,0,1,2,8,8,1,streamcluster,ALU_OP,OPERAND_COLLECTOR,0,243064
gto,1,4,0,1,2,8,8,1,streamcluster,ALU_OP,EXECUTION_PIPELINE,0,302640
gto,1,4,0,1,2,8,8,1,streamcluster,ALU_OP,WRITEBACK,0,75660
gto,1,4,0,1,2,8,8,1,streamcluster,INTP_OP,SCHEDULER,1520462,2626526
gto,1,4,0,1,2,8,8,1,streamcluster,INTP_OP,OPERAND_COLLECTOR,0,1204832
gto,1,4,0,1,2,8,8,1,streamcluster,INTP_OP,EXECUTION_PIPELINE,0,618800
gto,1,4,0,1,2,8,8,1,streamcluster,INTP_OP,WRITEBACK,0,154700
gto,1,4,0,1,2,8,8,1,streamcluster,LOAD_OP,SCHEDULER,3856677,8069374
gto,1,4,0,1,2,8,8,1,streamcluster,LOAD_OP,OPERAND_COLLECTOR,4578217,7936132
gto,1,4,0,1,2,8,8,1,streamcluster,LOAD_OP,EXECUTION_PIPELINE,0,254109317
gto,1,4,0,1,2,8,8,1,streamcluster,LOAD_OP,WRITEBACK,0,0
gto,1,4,0,1,2,8,8,1,streamcluster,SP_OP,SCHEDULER,5496705,6433420
gto,1,4,0,1,2,8,8,1,streamcluster,SP_OP,OPERAND_COLLECTOR,0,631438
gto,1,4,0,1,2,8,8,1,streamcluster,SP_OP,EXECUTION_PIPELINE,0,582400
gto,1,4,0,1,2,8,8,1,streamcluster,SP_OP,WRITEBACK,0,145600
gto,4,4,0,1,2,8,8,1,backprop,ALU_OP,SCHEDULER,6537903,9624340
gto,4,4,0,1,2,8,8,1,backprop,ALU_OP,OPERAND_COLLECTOR,146273,921779
gto,4,4,0,1,2,8,8,1,backprop,ALU_OP,EXECUTION_PIPELINE,0,278268
gto,4,4,0,1,2,8,8,1,backprop,ALU_OP,WRITEBACK,910,60309
gto,4,4,0,1,2,8,8,1,backprop,DP_OP,SCHEDULER,3171191,3204746
gto,4,4,0,1,2,8,8,1,backprop,DP_OP,OPERAND_COLLECTOR,3153787,3456940
gto,4,4,0,1,2,8,8,1,backprop,DP_OP,EXECUTION_PIPELINE,0,1826776
gto,4,4,0,1,2,8,8,1,backprop,DP_OP,WRITEBACK,0,14341
gto,4,4,0,1,2,8,8,1,backprop,INTP_OP,SCHEDULER,1218215,1739998
gto,4,4,0,1,2,8,8,1,backprop,INTP_OP,OPERAND_COLLECTOR,456281,820389
gto,4,4,0,1,2,8,8,1,backprop,INTP_OP,EXECUTION_PIPELINE,0,534989
gto,4,4,0,1,2,8,8,1,backprop,INTP_OP,WRITEBACK,566,111161
gto,4,4,0,1,2,8,8,1,backprop,LOAD_OP,SCHEDULER,253311,2123495
gto,4,4,0,1,2,8,8,1,backprop,LOAD_OP,OPERAND_COLLECTOR,690981,897744
gto,4,4,0,1,2,8,8,1,backprop,LOAD_OP,EXECUTION_PIPELINE,0,30894987
gto,4,4,0,1,2,8,8,1,backprop,LOAD_OP,WRITEBACK,0,0
gto,4,4,0,1,2,8,8,1,backprop,SFU_OP,SCHEDULER,4689,293550
gto,4,4,0,1,2,8,8,1,backprop,SFU_OP,OPERAND_COLLECTOR,1528,20042
gto,4,4,0,1,2,8,8,1,backprop,SFU_OP,EXECUTION_PIPELINE,0,198100
gto,4,4,0,1,2,8,8,1,backprop,SFU_OP,WRITEBACK,68,8260
gto,4,4,0,1,2,8,8,1,backprop,SP_OP,SCHEDULER,460682,480891
gto,4,4,0,1,2,8,8,1,backprop,SP_OP,OPERAND_COLLECTOR,862,24406
gto,4,4,0,1,2,8,8,1,backprop,SP_OP,EXECUTION_PIPELINE,0,40960
gto,4,4,0,1,2,8,8,1,backprop,SP_OP,WRITEBACK,677,10917
gto,4,4,0,1,2,8,8,1,bfs,ALU_OP,SCHEDULER,11267,264696
gto,4,4,0,1,2,8,8,1,bfs,ALU_OP,OPERAND_COLLECTOR,12164,31960
gto,4,4,0,1,2,8,8,1,bfs,ALU_OP,EXECUTION_PIPELINE,0,43625
gto,4,4,0,1,2,8,8,1,bfs,ALU_OP,WRITEBACK,0,8766
gto,4,4,0,1,2,8,8,1,bfs,INTP_OP,SCHEDULER,1486608,1996592
gto,4,4,0,1,2,8,8,1,bfs,INTP_OP,OPERAND_COLLECTOR,143779,341899
gto,4,4,0,1,2,8,8,1,bfs,INTP_OP,EXECUTION_PIPELINE,0,391334
gto,4,4,0,1,2,8,8,1,bfs,INTP_OP,WRITEBACK,0,84413
gto,4,4,0,1,2,8,8,1,bfs,LOAD_OP,SCHEDULER,63409,132706
gto,4,4,0,1,2,8,8,1,bfs,LOAD_OP,OPERAND_COLLECTOR,12971,45702
gto,4,4,0,1,2,8,8,1,bfs,LOAD_OP,EXECUTION_PIPELINE,0,5305866
gto,4,4,0,1,2,8,8,1,bfs,LOAD_OP,WRITEBACK,0,0
gto,4,4,0,1,2,8,8,1,heartwall,ALU_OP,SCHEDULER,90181,247247
gto,4,4,0,1,2,8,8,1,heartwall,ALU_OP,OPERAND_COLLECTOR,60483,116799
gto,4,4,0,1,2,8,8,1,heartwall,ALU_OP,EXECUTION_PIPELINE,0,110586
gto,4,4,0,1,2,8,8,1,heartwall,ALU_OP,WRITEBACK,146,23198
gto,4,4,0,1,2,8,8,1,heartwall,INTP_OP,SCHEDULER,932007,1666907
gto,4,4,0,1,2,8,8,1,heartwall,INTP_OP,OPERAND_COLLECTOR,250169,573485
gto,4,4,0,1,2,8,8,1,heartwall,INTP_OP,EXECUTION_PIPELINE,0,607334
gto,4,4,0,1,2,8,8,1,heartwall,INTP_OP,WRITEBACK,450,130296
gto,4,4,0,1,2,8,8,1,heartwall,LOAD_OP,SCHEDULER,160446,277014
gto,4,4,0,1,2,8,8,1,heartwall,LOAD_OP,OPERAND_COLLECTOR,3941,51014
gto,4,4,0,1,2,8,8,1,heartwall,LOAD_OP,EXECUTION_PIPELINE,0,9573783
gto,4,4,0,1,2,8,8,1,heartwall,LOAD_OP,WRITEBACK,0,0
gto,4,4,0,1,2,8,8,1,heartwall,SFU_OP,SCHEDULER,22020,31657
gto,4,4,0,1,2,8,8,1,heartwall,SFU_OP,OPERAND_COLLECTOR,41,5283
gto,4,4,0,1,2,8,8,1,heartwall,SFU_OP,EXECUTION_PIPELINE,0,57079
gto,4,4,0,1,2,8,8,1,heartwall,SFU_OP,WRITEBACK,6,2454
gto,4,4,0,1,2,8,8,1,hotspot,ALU_OP,SCHEDULER,1694106,1922701
gto,4,4,0,1,2,8,8,1,hotspot,ALU_OP,OPERAND_COLLECTOR,117927,400303
gto,4,4,0,1,2,8,8,1,hotspot,ALU_OP,EXECUTION_PIPELINE,0,539263
gto,4,4,0,1,2,8,8,1,hotspot,ALU_OP,WRITEBACK,507,119121
gto,4,4,0,1,2,8,8,1,hotspot,DP_OP,SCHEDULER,7005335,9978046
gto,4,4,0,1,2,8,8,1,hotspot,DP_OP,OPERAND_COLLECTOR,2241793,2458732
gto,4,4,0,1,2,8,8,1,hotspot,DP_OP,EXECUTION_PIPELINE,0,7960676
gto,4,4,0,1,2,8,8,1,hotspot,DP_OP,WRITEBACK,0,73871
gto,4,4,0,1,2,8,8,1,hotspot,INTP_OP,SCHEDULER,277270,1427424
gto,4,4,0,1,2,8,8,1,hotspot,INTP_OP,OPERAND_COLLECTOR,377000,864765
gto,4,4,0,1,2,8,8,1,hotspot,INTP_OP,EXECUTION_PIPELINE,0,934573
gto,4,4,0,1,2,8,8,1,hotspot,INTP_OP,WRITEBACK,1973,195822
gto,4,4,0,1,2,8,8,1,hotspot,LOAD_OP,SCHEDULER,144947,339299
gto,4,4,0,1,2,8,8,1,hotspot,LOAD_OP,OPERAND_COLLECTOR,290911,550106
gto,4,4,0,1,2,8,8,1,hotspot,LOAD_OP,EXECUTION_PIPELINE,0,13931333
gto,4,4,0,1,2,8,8,1,hotspot,LOAD_OP,WRITEBACK,0,0
gto,4,4,0,1,2,8,8,1,hotspot,SFU_OP,SCHEDULER,204,14540
gto,4,4,0,1,2,8,8,1,hotspot,SFU_OP,OPERAND_COLLECTOR,2258,32549
gto,4,4,0,1,2,8,8,1,hotspot,SFU_OP,EXECUTION_PIPELINE,0,352265
gto,4,4,0,1,2,8,8,1,hotspot,SFU_OP,WRITEBACK,16,14349
gto,4,4,0,1,2,8,8,1,hotspot,SP_OP,SCHEDULER,550571,960078
gto,4,4,0,1,2,8,8,1,hotspot,SP_OP,OPERAND_COLLECTOR,3458,198399
gto,4,4,0,1,2,8,8,1,hotspot,SP_OP,EXECUTION_PIPELINE,0,369552
gto,4,4,0,1,2,8,8,1,hotspot,SP_OP,WRITEBACK,5062,97450
gto,4,4,0,1,2,8,8,1,lud,ALU_OP,SCHEDULER,524,2712
gto,4,4,0,1,2,8,8,1,lud,ALU_OP,OPERAND_COLLECTOR,2544,5452
gto,4,4,0,1,2,8,8,1,lud,ALU_OP,EXECUTION_PIPELINE,0,6290
gto,4,4,0,1,2,8,8,1,lud,ALU_OP,WRITEBACK,0,1342
gto,4,4,0,1,2,8,8,1,lud,INTP_OP,SCHEDULER,10890,24680
gto,4,4,0,1,2,8,8,1,lud,INTP_OP,OPERAND_COLLECTOR,5397,20352
gto,4,4,0,1,2,8,8,1,lud,INTP_OP,EXECUTION_PIPELINE,0,29242
gto,4,4,0,1,2,8,8,1,lud,INTP_OP,WRITEBACK,0,6490
gto,4,4,0,1,2,8,8,1,lud,LOAD_OP,SCHEDULER,17392,57447
gto,4,4,0,1,2,8,8,1,lud,LOAD_OP,OPERAND_COLLECTOR,29402,54064
gto,4,4,0,1,2,8,8,1,lud,LOAD_OP,EXECUTION_PIPELINE,0,930082
gto,4,4,0,1,2,8,8,1,lud,LOAD_OP,WRITEBACK,0,0
gto,4,4,0,1,2,8,8,1,lud,SFU_OP,SCHEDULER,5920,6424
gto,4,4,0,1,2,8,8,1,lud,SFU_OP,OPERAND_COLLECTOR,0,312
gto,4,4,0,1,2,8,8,1,lud,SFU_OP,EXECUTION_PIPELINE,0,3588
gto,4,4,0,1,2,8,8,1,lud,SFU_OP,WRITEBACK,0,156
gto,4,4,0,1,2,8,8,1,lud,SP_OP,SCHEDULER,136061,151867
gto,4,4,0,1,2,8,8,1,lud,SP_OP,OPERAND_COLLECTOR,1,14569
gto,4,4,0,1,2,8,8,1,lud,SP_OP,EXECUTION_PIPELINE,0,20256
gto,4,4,0,1,2,8,8,1,lud,SP_OP,WRITEBACK,0,5064
gto,4,4,0,1,2,8,8,1,nn,ALU_OP,SCHEDULER,108587,473093
gto,4,4,0,1,2,8,8,1,nn,ALU_OP,OPERAND_COLLECTOR,76111,171955
gto,4,4,0,1,2,8,8,1,nn,ALU_OP,EXECUTION_PIPELINE,0,193665
gto,4,4,0,1,2,8,8,1,nn,ALU_OP,WRITEBACK,300,42166
gto,4,4,0,1,2,8,8,1,nn,INTP_OP,SCHEDULER,1218409,6057607
gto,4,4,0,1,2,8,8,1,nn,INTP_OP,OPERAND_COLLECTOR,217752,789304
gto,4,4,0,1,2,8,8,1,nn,INTP_OP,EXECUTION_PIPELINE,0,665499
gto,4,4,0,1,2,8,8,1,nn,INTP_OP,WRITEBACK,743,145104
gto,4,4,0,1,2,8,8,1,nn,LOAD_OP,SCHEDULER,3080172,4805133
gto,4,4,0,1,2,8,8,1,nn,LOAD_OP,OPERAND_COLLECTOR,19968165,23462446
gto,4,4,0,1,2,8,8,1,nn,LOAD_OP,EXECUTION_PIPELINE,0,223040407
gto,4,4,0,1,2,8,8,1,nn,LOAD_OP,WRITEBACK,0,0
